anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
0,ALDR,0,1,25,2022-02-25,24
0,ALDR,0,0,19,2022-02-27,19
0,ALDR,0,0,6,2022-02-28,6
0,ALDR,0,0,25,2022-03-05,25
0,ALDR,0,1,19,2022-03-07,18
0,ALDR,0,0,6,2022-03-08,6
0,ALDR,0,1,25,2022-03-10,24
0,ALDR,0,0,16,2022-03-13,16
0,ALDR,0,0,9,2022-03-14,9
0,ALDR,0,0,19,2022-03-15,19
0,ALDR,0,0,6,2022-03-16,6
0,ALDR,0,0,25,2022-03-18,25
0,ALDR,0,1,16,2022-03-21,15
0,ALDR,0,0,3,2022-03-23,3
0,ALDR,0,0,6,2022-03-24,6
0,ALDR,0,0,26,2022-03-26,26
0,ALDR,0,1,16,2022-03-29,15
0,ALDR,0,0,3,2022-03-31,3
0,ALDR,0,0,5,2022-04-01,5
0,ALDR,0,0,26,2022-04-03,26
0,ALDR,0,0,26,2022-04-04,26
0,ALDR,0,0,16,2022-04-06,16
0,ALDR,0,0,3,2022-04-08,3
0,ALDR,0,0,7,2022-04-09,7
0,ALDR,0,0,23,2022-04-11,23
0,ALDR,0,0,23,2022-04-12,23
0,ALDR,0,0,6,2022-04-17,6
0,ALDR,0,0,21,2022-04-19,21
0,ALDR,0,0,23,2022-04-20,23
0,ALDR,0,0,3,2022-04-25,3
0,ALDR,0,0,21,2022-05-01,21
0,ALDR,0,0,1,2022-05-02,1
0,ALDR,0,0,3,2022-05-03,3
0,ALDR,0,0,25,2022-05-04,25
0,ALDR,0,0,21,2022-05-09,21
0,ALDR,0,0,1,2022-05-10,1
0,ALDR,0,0,28,2022-05-11,28
0,ALDR,0,0,25,2022-05-12,25
0,ALDR,0,0,25,2022-05-23,25
0,ALDR,0,0,19,2022-05-25,19
0,ALDR,0,0,6,2022-05-26,6
0,ALDR,0,0,25,2022-05-29,25
0,ALDR,0,0,25,2022-05-31,25
0,ALDR,0,0,19,2022-06-02,19
0,ALDR,0,0,6,2022-06-03,6
0,ALDR,0,0,12,2022-06-08,12
0,ALDR,0,0,14,2022-06-09,14
0,ALDR,0,0,43,2022-06-10,43
0,ALDR,0,0,6,2022-06-11,6
0,ALDR,0,0,53,2022-06-12,53
0,ALDR,0,0,32,2022-06-13,32
0,ALDR,0,0,32,2022-06-14,32
0,ALDR,0,0,32,2022-06-15,32
0,ALDR,0,0,12,2022-06-16,12
0,ALDR,0,0,1,2022-06-17,1
0,ALDR,0,0,31,2022-06-18,31
0,ALDR,0,0,7,2022-06-20,7
0,ALDR,0,0,38,2022-12-04,38
0,ALDR,0,0,38,2022-12-28,38
0,ANON,0,0,10,2022-01-01,10
0,ANON,0,0,7,2022-01-02,7
0,ANON,0,0,16,2022-01-05,16
0,ANON,0,0,8,2022-01-06,8
0,ANON,0,0,13,2022-01-07,13
0,ANON,0,0,16,2022-01-08,16
0,ANON,0,0,10,2022-01-09,10
0,ANON,0,0,7,2022-01-10,7
0,ANON,0,0,10,2022-02-08,10
1,ANON,0,0,18,2022-02-09,17
0,ANON,0,0,11,2022-02-10,11
0,ANON,0,0,13,2022-02-11,13
0,ANON,0,0,17,2022-02-12,17
1,ANON,0,0,10,2022-02-13,9
1,ANON,0,0,8,2022-02-14,7
0,ANON,0,0,10,2022-02-16,10
1,ANON,0,0,18,2022-02-17,17
0,ANON,0,0,11,2022-02-18,11
0,ANON,0,0,13,2022-02-21,13
0,ANON,0,0,27,2022-02-22,27
1,ANON,0,0,11,2022-02-23,10
0,ANON,0,0,10,2022-02-24,10
3,ANON,0,1,43,2022-02-25,39
1,ANON,0,0,79,2022-02-26,78
3,ANON,0,0,89,2022-02-28,86
2,ANON,0,0,23,2022-03-01,21
0,ANON,0,0,28,2022-03-02,28
2,ANON,0,0,84,2022-03-03,82
0,ANON,0,0,12,2022-03-04,12
1,ANON,0,0,28,2022-03-05,27
1,ANON,0,0,30,2022-03-06,29
1,ANON,0,1,90,2022-03-07,88
2,ANON,0,1,76,2022-03-08,73
1,ANON,0,1,21,2022-03-09,19
1,ANON,0,0,86,2022-03-10,85
3,ANON,0,1,121,2022-03-11,117
0,ANON,0,0,2,2022-03-12,2
0,ANON,0,0,7,2022-03-13,7
2,ANON,0,0,61,2022-03-14,59
1,ANON,0,1,89,2022-03-15,87
2,ANON,0,1,77,2022-03-16,74
3,ANON,0,0,36,2022-03-18,33
0,ANON,0,0,21,2022-03-19,21
3,ANON,0,1,94,2022-03-20,90
1,ANON,0,0,60,2022-03-21,59
0,ANON,0,0,2,2022-03-22,2
0,ANON,0,0,22,2022-03-23,22
0,ANON,0,0,41,2022-03-24,41
0,ANON,0,0,4,2022-03-25,4
2,ANON,0,1,26,2022-03-26,23
2,ANON,0,0,45,2022-03-27,43
0,ANON,0,0,53,2022-03-28,53
0,ANON,0,2,81,2022-03-29,79
0,ANON,0,0,2,2022-03-30,2
2,ANON,0,1,126,2022-03-31,123
0,ANON,0,0,41,2022-04-01,41
2,ANON,0,1,27,2022-04-03,24
2,ANON,0,0,82,2022-04-04,80
0,ANON,0,0,111,2022-04-05,111
0,ANON,0,0,57,2022-04-06,57
1,ANON,0,1,115,2022-04-07,113
0,ANON,0,0,37,2022-04-08,37
0,ANON,0,0,56,2022-04-09,56
2,ANON,0,0,46,2022-04-10,44
1,ANON,0,0,8,2022-04-11,7
2,ANON,0,0,10,2022-04-12,8
0,ANON,0,0,14,2022-04-13,14
0,ANON,0,0,61,2022-04-14,61
0,ANON,0,0,34,2022-04-15,34
0,ANON,0,0,44,2022-04-16,44
0,ANON,0,0,64,2022-04-17,64
1,ANON,0,1,61,2022-04-18,59
1,ANON,0,0,8,2022-04-19,7
1,ANON,0,0,89,2022-04-20,88
0,ANON,0,0,13,2022-04-21,13
0,ANON,0,0,24,2022-04-22,24
0,ANON,0,0,14,2022-04-23,14
0,ANON,0,0,20,2022-04-24,20
0,ANON,0,0,12,2022-04-25,12
0,ANON,0,0,2,2022-04-28,2
1,ANON,0,0,15,2022-04-29,14
1,ANON,0,0,32,2022-04-30,31
0,ANON,0,0,13,2022-05-01,13
0,ANON,0,0,20,2022-05-02,20
2,ANON,0,0,106,2022-05-03,104
2,ANON,0,0,84,2022-05-04,82
0,ANON,0,0,11,2022-05-05,11
0,ANON,0,0,2,2022-05-06,2
1,ANON,0,1,97,2022-05-07,95
2,ANON,0,0,42,2022-05-08,40
0,ANON,0,0,33,2022-05-10,33
2,ANON,0,0,106,2022-05-11,104
4,ANON,0,0,104,2022-05-12,100
0,ANON,0,0,2,2022-05-13,2
0,ANON,0,0,1,2022-05-14,1
0,ANON,0,0,5,2022-05-15,5
0,ANON,0,0,2,2022-05-16,2
0,ANON,0,0,5,2022-05-17,5
0,ANON,0,0,3,2022-05-18,3
0,ANON,0,0,56,2022-05-20,56
3,ANON,0,0,109,2022-05-23,106
0,ANON,0,0,17,2022-05-24,17
