anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
0,ALDR,0,0,25,2022-04-14,25
0,ALDR,0,0,25,2022-04-16,25
0,ALDR,0,0,25,2022-04-18,25
0,ALDR,0,0,25,2022-04-20,25
0,ALDR,0,0,25,2022-04-22,25
0,ALDR,0,0,26,2022-04-24,26
0,ALDR,0,0,24,2022-04-26,24
0,ALDR,0,0,25,2022-04-28,25
0,ALDR,0,0,25,2022-04-30,25
0,ALDR,0,0,35,2022-05-02,35
0,ALDR,0,0,15,2022-05-04,15
0,ALDR,0,0,25,2022-05-06,25
0,ALDR,0,0,25,2022-05-08,25
0,ALDR,0,0,35,2022-05-10,35
0,ALDR,0,0,40,2022-05-12,40
0,ALDR,0,0,25,2022-05-14,25
0,ALDR,0,0,10,2022-05-18,10
0,ALDR,0,0,40,2022-05-20,40
0,ANON,0,0,97,2022-04-14,97
0,ANON,0,0,74,2022-04-15,74
2,ANON,0,0,89,2022-04-16,87
2,ANON,0,0,115,2022-04-17,113
0,ANON,0,1,94,2022-04-18,93
0,ANON,0,0,31,2022-04-19,31
0,ANON,0,0,68,2022-04-20,68
0,ANON,0,0,88,2022-04-21,88
0,ANON,0,0,4,2022-04-22,4
2,ANON,0,0,176,2022-04-23,174
2,ANON,0,0,74,2022-04-24,72
0,ANON,0,0,28,2022-04-25,28
1,ANON,0,0,149,2022-04-26,148
0,ANON,0,0,71,2022-04-27,71
0,ANON,0,0,67,2022-04-28,67
0,ANON,0,0,90,2022-04-29,90
0,ANON,0,0,69,2022-04-30,69
0,ANON,0,0,109,2022-05-01,109
1,ANON,0,1,167,2022-05-02,165
0,ANON,0,0,26,2022-05-03,26
1,ANON,0,0,57,2022-05-04,56
0,ANON,0,0,69,2022-05-05,69
0,ANON,0,0,52,2022-05-06,52
0,ANON,0,0,107,2022-05-07,107
0,ANON,0,1,69,2022-05-08,68
0,ANON,0,0,110,2022-05-09,110
1,ANON,0,0,167,2022-05-10,166
0,ANON,0,0,85,2022-05-11,85
1,ANON,0,0,142,2022-05-12,141
0,ANON,0,0,92,2022-05-13,92
1,ANON,0,0,25,2022-05-14,24
0,ANON,0,0,22,2022-05-15,22
0,ANON,0,0,26,2022-05-16,26
0,ANON,0,1,29,2022-05-17,28
0,ANON,0,1,151,2022-05-18,150
2,ANON,0,0,85,2022-05-19,83
0,ANON,0,0,142,2022-05-20,142
0,ANON,0,0,13,2022-05-21,13
0,COMM,0,0,18,2022-04-15,18
0,COMM,0,0,18,2022-04-17,18
0,COMM,0,0,4,2022-04-18,4
0,COMM,0,0,14,2022-04-19,14
0,COMM,0,0,18,2022-04-21,18
0,COMM,0,0,18,2022-04-23,18
0,COMM,0,0,4,2022-04-26,4
0,COMM,0,0,32,2022-04-27,32
0,COMM,0,0,18,2022-04-30,18
0,COMM,0,0,18,2022-05-01,18
0,COMM,0,0,18,2022-05-05,18
0,COMM,0,0,36,2022-05-08,36
0,COMM,0,0,18,2022-05-09,18
0,COMM,0,0,18,2022-05-13,18
0,COMM,0,0,22,2022-05-16,22
0,COMM,0,0,14,2022-05-17,14
0,COMT,0,0,6,2022-04-13,6
0,COMT,0,0,97,2022-04-14,97
0,COMT,0,0,12,2022-04-15,12
0,COMT,0,0,109,2022-04-16,109
0,COMT,0,0,115,2022-04-17,115
0,COMT,0,0,109,2022-04-18,109
0,COMT,0,0,103,2022-04-19,103
0,COMT,0,0,30,2022-04-20,30
0,COMT,0,0,97,2022-04-21,97
0,COMT,0,0,90,2022-04-22,90
0,COMT,0,0,91,2022-04-23,91
0,COMT,0,0,31,2022-04-24,31
0,COMT,0,0,84,2022-04-25,84
0,COMT,0,0,140,2022-04-26,140
1,COMT,0,0,164,2022-04-27,163
0,COMT,0,0,54,2022-04-28,54
0,COMT,0,0,30,2022-04-29,30
0,COMT,0,0,181,2022-04-30,181
0,COMT,0,0,14,2022-05-01,14
0,COMT,0,0,114,2022-05-02,114
0,COMT,0,0,78,2022-05-03,78
0,COMT,0,0,31,2022-05-04,31
1,COMT,0,0,164,2022-05-05,163
0,COMT,0,0,54,2022-05-06,54
0,COMT,0,0,31,2022-05-07,31
0,COMT,0,0,186,2022-05-08,186
