anomaly_count,category_code,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
0,ALDR,0,0,25,2022-05-01,25
0,ANON,0,0,7,2022-03-31,7
0,ANON,0,0,4,2022-04-01,4
0,ANON,0,0,7,2022-04-03,7
0,ANON,0,0,9,2022-04-05,9
2,ANON,0,1,73,2022-04-08,70
0,ANON,0,0,18,2022-04-28,18
0,ANON,0,0,59,2022-04-29,59
1,ANON,0,0,20,2022-04-30,19
1,ANON,0,1,63,2022-05-01,61
0,ANON,0,0,27,2022-05-02,27
0,ANON,0,0,20,2022-05-29,20
2,ANON,0,1,62,2022-06-22,59
1,ANON,0,0,19,2022-12-05,18
0,COMM,0,0,18,2022-05-01,18
0,COMT,0,0,4,2022-01-08,4
0,COMT,0,0,7,2022-01-23,7
0,COMT,0,0,7,2022-02-24,7
0,COMT,0,0,6,2022-03-11,6
0,COMT,0,1,6,2022-03-31,5
0,COMT,0,0,54,2022-04-08,54
0,COMT,0,0,6,2022-04-28,6
0,COMT,0,0,97,2022-04-30,97
0,COMT,0,0,12,2022-05-01,12
0,COMT,0,0,50,2022-05-02,50
0,COMT,0,0,47,2022-05-04,47
0,COMT,0,0,6,2022-05-09,6
0,COMT,0,0,6,2022-05-29,6
0,COMT,0,0,6,2022-07-10,6
0,COMT,0,0,6,2022-07-30,6
0,COMT,0,0,1,2022-08-26,1
0,COMT,0,0,8,2022-08-27,8
1,COMT,0,0,3,2022-08-28,2
0,COMT,0,1,6,2022-09-14,5
0,COMT,0,0,6,2022-09-29,6
0,COMT,0,0,6,2022-10-24,6
0,COMT,0,0,6,2022-10-31,6
0,COMT,0,0,2,2022-11-07,2
0,COMT,0,0,6,2022-12-05,6
0,COMT,0,0,6,2022-12-30,6
0,CTRL,0,0,18,2022-05-01,18
0,CULTR,0,0,1,2022-01-25,1
0,CULTR,0,0,1,2022-03-12,1
0,CULTR,0,0,1,2022-03-31,1
0,CULTR,0,0,2,2022-04-08,2
0,CULTR,0,0,1,2022-04-28,1
0,CULTR,0,0,2,2022-04-30,2
0,CULTR,0,0,93,2022-05-01,93
0,CULTR,0,0,1,2022-05-02,1
0,CULTR,0,0,1,2022-05-04,1
0,CULTR,0,0,1,2022-05-29,1
0,DATE,0,0,13,2022-05-01,13
0,ECON,0,1,20,2022-05-01,19
0,ENV,0,0,17,2022-04-30,17
0,ENV,0,0,7,2022-05-01,7
0,ENV,0,0,3,2022-05-04,3
0,FILE,0,0,1,2022-04-08,1
0,FILE,0,0,1,2022-04-30,1
0,FILE,0,0,32,2022-05-01,32
0,FILE,0,0,1,2022-05-02,1
0,GAME,0,0,18,2022-05-01,18
1,GMB,0,0,28,2022-05-01,27
0,GOVT,0,0,1,2022-04-30,1
0,GOVT,0,0,25,2022-05-01,25
0,GRP,0,0,3,2022-01-08,3
0,GRP,0,0,3,2022-01-23,3
0,GRP,0,0,15,2022-01-25,15
0,GRP,0,0,4,2022-02-24,4
0,GRP,0,0,10,2022-03-03,10
0,GRP,0,0,10,2022-03-11,10
0,GRP,0,0,7,2022-03-12,7
0,GRP,0,22,54,2022-03-31,32
0,GRP,0,0,2,2022-04-01,2
0,GRP,0,0,4,2022-04-03,4
0,GRP,0,0,2,2022-04-05,2
0,GRP,0,0,61,2022-04-08,61
0,GRP,0,1,58,2022-04-28,57
0,GRP,0,0,8,2022-04-29,8
0,GRP,0,0,7,2022-04-30,7
0,GRP,0,0,72,2022-05-01,72
0,GRP,0,0,10,2022-05-02,10
0,GRP,0,0,5,2022-05-04,5
0,GRP,0,0,8,2022-05-09,8
0,GRP,0,0,59,2022-05-29,59
2,GRP,0,0,26,2022-06-22,24
0,GRP,0,0,86,2022-07-10,86
0,GRP,0,0,21,2022-07-30,21
0,GRP,0,0,2,2022-08-26,2
0,GRP,0,0,10,2022-08-27,10
3,GRP,0,3,114,2022-08-28,108
0,GRP,0,0,19,2022-09-14,19
0,GRP,0,0,24,2022-09-29,24
0,GRP,0,1,33,2022-10-24,32
0,GRP,0,0,21,2022-10-31,21
0,GRP,0,0,35,2022-11-07,35
1,GRP,0,0,89,2022-12-05,88
0,GRP,0,0,2,2022-12-16,2
0,GRP,0,0,5,2022-12-30,5
0,HACK,0,1,35,2022-05-01,34
0,HATE,0,0,6,2022-05-01,6
0,HOST,0,0,1,2022-03-31,1
0,HOST,0,0,5,2022-04-08,5
0,HOST,0,0,1,2022-04-28,1
