anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,test_name
0,0,0,1,2022-06-26,1,psiphon
0,0,0,1,2022-07-04,1,psiphon
1,0,0,38,2022-07-28,37,psiphon
0,0,0,3,2022-07-29,3,psiphon
0,0,0,6,2022-07-30,6,psiphon
0,0,0,1,2022-08-13,1,psiphon
0,0,0,1,2022-08-23,1,psiphon
0,0,0,1,2022-08-31,1,psiphon
0,0,0,2,2022-09-04,2,psiphon
0,0,0,1,2022-09-05,1,psiphon
0,0,0,2,2022-09-07,2,psiphon
0,0,0,1,2022-09-08,1,psiphon
0,0,0,1,2022-09-11,1,psiphon
0,0,0,1,2022-09-16,1,psiphon
0,0,0,1,2022-09-18,1,psiphon
0,0,0,2,2022-09-19,2,psiphon
0,0,0,2,2022-09-21,2,psiphon
0,0,0,1,2022-09-23,1,psiphon
0,0,0,11,2022-09-25,11,psiphon
0,0,0,7,2022-09-26,7,psiphon
0,0,0,1,2022-09-27,1,psiphon
0,0,0,2,2022-09-28,2,psiphon
1,0,0,2,2022-09-29,1,psiphon
0,0,0,6,2022-09-30,6,psiphon
0,0,0,2,2022-10-01,2,psiphon
0,0,0,3,2022-10-04,3,psiphon
0,0,0,5,2022-10-08,5,psiphon
0,0,0,2,2022-10-09,2,psiphon
0,0,0,4,2022-10-10,4,psiphon
0,0,0,1,2022-10-12,1,psiphon
0,0,0,3,2022-10-13,3,psiphon
0,0,0,5,2022-10-14,5,psiphon
0,0,0,1,2022-10-15,1,psiphon
0,0,0,5,2022-10-16,5,psiphon
0,0,0,5,2022-10-17,5,psiphon
0,0,0,2,2022-10-18,2,psiphon
0,0,0,2,2022-10-19,2,psiphon
0,0,0,3,2022-10-20,3,psiphon
0,0,0,1,2022-10-21,1,psiphon
0,0,0,3,2022-10-23,3,psiphon
0,0,0,1,2022-10-24,1,psiphon
0,0,0,1,2022-10-25,1,psiphon
0,0,0,1,2022-10-26,1,psiphon
0,0,0,3,2022-10-27,3,psiphon
0,0,0,2,2022-10-29,2,psiphon
0,0,0,3,2022-10-30,3,psiphon
0,0,0,10,2022-10-31,10,psiphon
0,0,0,1,2022-11-01,1,psiphon
0,0,0,2,2022-11-02,2,psiphon
0,0,0,1,2022-11-03,1,psiphon
0,0,0,8,2022-11-05,8,psiphon
0,0,0,1,2022-11-06,1,psiphon
0,0,0,1,2022-11-08,1,psiphon
0,0,0,3,2022-11-09,3,psiphon
0,0,0,1,2022-11-12,1,psiphon
0,0,0,2,2022-11-15,2,psiphon
0,0,0,2,2022-11-16,2,psiphon
0,0,0,2,2022-11-18,2,psiphon
0,0,0,2,2022-11-19,2,psiphon
0,0,0,3,2022-11-20,3,psiphon
0,0,0,2,2022-11-23,2,psiphon
0,0,0,3,2022-11-24,3,psiphon
0,0,0,2,2022-11-25,2,psiphon
